DATAYEAR,QUARTER,MONTH,COUNTRY,OU Site Identifier,Site Name,Count,Overall Satisfaction,Treated Like a Guest,Clean and Bright,Everything Works,Quick and Easy,Staff Suggestion Satisfaction,Likelihood to Return,NPS,Likelihood to Recommend
2017,2,6,Botswana,10043343,Bangwaketse F/stn,6,83.3%,100.0%,50.0%,50.0%,66.7%,60.0%,83.3%,100.0%,50.0%
2017,2,6,Botswana,10043330,Kudu S/stn,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%
2017,2,6,Botswana,10090635,Ledumadumane Filling Station,5,80.0%,80.0%,60.0%,80.0%,70.0%,50.0%,80.0%,80.0%,60.0%
2017,2,6,Botswana,10043344,Moshupa F/stn,19,78.9%,73.7%,47.4%,52.6%,47.4%,43.8%,89.5%,89.5%,57.9%
2017,2,6,Botswana,10043358,Riley's Garage,9,33.3%,55.6%,55.6%,55.6%,44.4%,28.6%,77.8%,88.9%,66.7%
2017,2,6,Ghana,400072,3Rd Gate Ashaley Botwe S/s,2,50.0%,50.0%,50.0%,50.0%,25.0%,100.0%,50.0%,0.0%,0.0%
2017,2,6,Ghana,10090700,Aboaso Mampong,7,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,10044183,Airport R/a F/s,2,50.0%,50.0%,50.0%,50.0%,0.0%,0.0%,0.0%,50.0%,50.0%
2017,2,6,Ghana,10044235,Akim Oda S/s,1,100.0%,100.0%,0.0%,0.0%,50.0%,N/A,100.0%,100.0%,100.0%
2017,2,6,Ghana,10090702,Aputuogya,2,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,10090704,Ashaiman Town Center S/s,3,100.0%,100.0%,66.7%,100.0%,83.3%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,10044203,Asuoyeboah F/s,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,10044164,Avenor S/s,22,86.4%,77.3%,77.3%,81.8%,70.5%,61.9%,90.9%,90.9%,68.2%
2017,2,6,Ghana,10044165,Cantoments S/s,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
2017,2,6,Ghana,10044167,Coastal Rd F/s,2,100.0%,50.0%,50.0%,50.0%,50.0%,100.0%,100.0%,0.0%,0.0%
2017,2,6,Ghana,10044178,Dansoman S/s,6,50.0%,50.0%,33.3%,33.3%,58.3%,16.7%,66.7%,66.7%,0.0%
2017,2,6,Ghana,10044211,Ho S/s,3,66.7%,66.7%,66.7%,66.7%,66.7%,50.0%,66.7%,0.0%,33.3%
2017,2,6,Ghana,10044213,Hohoe S/s,4,75.0%,50.0%,50.0%,75.0%,75.0%,33.3%,75.0%,50.0%,25.0%
2017,2,6,Ghana,10083329,Ketaase Peduase S/s.,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
2017,2,6,Ghana,10056878,Kia S/s,1,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,0.0%,0.0%,0.0%
2017,2,6,Ghana,10044238,Kintampo F/s,1,100.0%,0.0%,0.0%,0.0%,0.0%,N/A,0.0%,0.0%,0.0%
2017,2,6,Ghana,10044214,Kpandu S/s,4,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,10072037,Legon S/s,1,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,400001,Mallam S/s,2,50.0%,50.0%,0.0%,100.0%,75.0%,50.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,10044177,Mataheko-Hansonic S/s,4,25.0%,25.0%,50.0%,25.0%,25.0%,25.0%,50.0%,75.0%,75.0%
2017,2,6,Ghana,10044145,Nima S/s,4,50.0%,25.0%,50.0%,50.0%,25.0%,100.0%,75.0%,25.0%,50.0%
2017,2,6,Ghana,10090698,Nsawam By Pass S/s,1,100.0%,0.0%,0.0%,0.0%,0.0%,N/A,0.0%,0.0%,0.0%
2017,2,6,Ghana,10044234,Nsawam High S/s,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,10056894,Odorkor West S/s,4,50.0%,25.0%,50.0%,50.0%,37.5%,33.3%,50.0%,50.0%,50.0%
2017,2,6,Ghana,10044221,Prestea F/p,2,100.0%,50.0%,50.0%,50.0%,50.0%,100.0%,100.0%,0.0%,50.0%
2017,2,6,Ghana,10044240,Savelugu Rd S/s,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%
2017,2,6,Ghana,10044182,Spintex Road S/s,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,400039,Tafo-Maduma S/s,1,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,100.0%,100.0%,100.0%
2017,2,6,Ghana,10089126,Takoradi - Bokro S/s,1,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,400021,Tema Com. 11,2,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,400041,Tema Community 8,1,100.0%,100.0%,100.0%,100.0%,50.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,10044176,Tema Round About,2,50.0%,50.0%,100.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,400022,Winneba,3,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ghana,10044219,Wireless Hill,4,100.0%,100.0%,75.0%,100.0%,75.0%,75.0%,100.0%,100.0%,100.0%
2017,2,6,Ivory Coast,10044123,220 Logements,6,50.0%,66.7%,66.7%,33.3%,50.0%,33.3%,66.7%,66.7%,50.0%
2017,2,6,Ivory Coast,10083862,Abobo Depot Sotra,3,33.3%,33.3%,33.3%,33.3%,16.7%,0.0%,33.3%,33.3%,33.3%
2017,2,6,Ivory Coast,10044025,Abobo S/s,2,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,0.0%,0.0%,0.0%
2017,2,6,Ivory Coast,10044124,Abobote,6,33.3%,83.3%,16.7%,33.3%,33.3%,40.0%,50.0%,66.7%,50.0%
2017,2,6,Ivory Coast,10044042,Ameca 2,1,100.0%,100.0%,100.0%,100.0%,100.0%,N/A,100.0%,100.0%,100.0%
2017,2,6,Ivory Coast,10044026,Autoroute Du Nord S/ss,1,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%
2017,2,6,Ivory Coast,10044117,Autoroute Sud,2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2017,2,6,Ivory Coast,10044097,Banco Autoroute,6,50.0%,50.0%,33.3%,50.0%,16.7%,25.0%,66.7%,33.3%,50.0%
2017,2,6,Ivory Coast,10044027,Banco Nord S/s,7,42.9%,33.3%,28.6%,33.3%,21.4%,0.0%,57.1%,100.0%,85.7%
2017,2,6,Ivory Coast,10044132,Bassam,12,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,2,6,Ivory Coast,10044092,Bonoumin,1,100.0%,0.0%,100.0%,100.0%,100.0%,N/A,100.0%,100.0%,100.0%
2017,2,6,Ivory Coast,10044038,Boulevard De La Paix,4,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%
2017,2,6,Ivory Coast,10044099,Cocody,1,0.0%,0.0%,0.0%,0.0%,0.0%,N/A,0.0%,0.0%,0.0%
2017,2,6,Ivory Coast,10044061,Daloa Gare Routiere,1,0.0%,100.0%,100.0%,0.0%,50.0%,N/A,0.0%,0.0%,0.0%
2017,2,6,Ivory Coast,10044095,Deux Plateaux Sortie Rue Des Jar,3,66.7%,66.7%,66.7%,33.3%,40.0%,100.0%,66.7%,66.7%,33.3%
2017,2,6,Ivory Coast,10044044,Hopital,3,33.3%,0.0%,100.0%,66.7%,50.0%,0.0%,66.7%,100.0%,66.7%
